document	R
task_vost_6(2012)_leSt_3.txt	7.375
task_vost_6(2012)_leSt_4.txt	8.18879344153759
task_vost_6(2012)_leSt.txt	7.3180493407633
task_vost_7(1996)_leSe_2.txt	8.97828067112651
task_vost_7(1996)_leSe_3.txt	8.19191838837036
task_vost_7(1996)_leSe_4.txt	7.46605220205906
task_vost_7(1996)_leSe_5.txt	8.19529076346132
task_vost_7(1996)_leSe_6.txt	7.01167856961772
task_vost_7(1996)_leSe_7.txt	10.0248058348351
task_vost_7(1996)_leSe_8.txt	7.79422863405995
task_vost_7(1996)_leSe.txt	8.33561372307708
task_vost_7(1996)_leSt.txt	6.37905225659014
task_vost_7(2013)_gram_2.txt	10.0448270629532
task_vost_7(2013)_gram.txt	9.04515421730414
task_vost_7(2013)_leSt_2.txt	7.64076932855608
task_vost_7(2013)_leSt_3.txt	7.46392289131769
task_vost_7(2013)_leSt.txt	6.25
task_vost_7(2013)_lexi_2.txt	7.74673510337773
task_vost_7(2013)_lexi_3.txt	7.08242291067925
task_vost_7(2013)_lexi.txt	5.68873466841789
task_vost_8(1997)_gram.txt	8.8375163318239
task_vost_8(1997)_leSe_2.txt	6.33173823613304
task_vost_8(1997)_leSe_3.txt	6.75511502103172
task_vost_8(1997)_leSe_4.txt	9.30738690398074
task_vost_8(1997)_leSe.txt	9.31313659699761
task_vost_8(1997)_woFo_2.txt	8.76708059319974
task_vost_8(1997)_woFo_3.txt	7.42076792590696
task_vost_8(1997)_woFo.txt	9.45454545454546
task_vost_8(2014)_gram.txt	7.86327977571502
task_vost_8(2014)_leSe.txt	7.86213627541439
task_vost_8(2014)_leSt.txt	5.93295878967653
task_vost_8(2014)_lexi_2.txt	8.91132788679007
task_vost_8(2014)_lexi_3.txt	6.60715865213977
task_vost_8(2014)_lexi_4.txt	7.38704413501311
task_vost_8(2014)_lexi.txt	8.14425855240494
task_vost_8(2014)_styl.txt	8.16275876347149
